-2423,3680,-2236
-2521,3678,-2106
-2632,3717,-1953
-2732,3724,-1804
-2831,3751,-1656
-2924,3772,-1513
-3013,3746,-1351
-3097,3796,-1202
-3160,3798,-1077
-3247,3808,-910
-3306,3784,-762
-3382,3775,-619
-3429,3778,-619
-3429,3778,-487
-3474,3760,-356
-3533,3776,-214
-3571,3773,-78
-3615,3754,46
-3644,3754,170
-3654,3760,257
-3682,3761,367
-3715,3753,454
-3731,3745,532
-3747,3710,612
-3759,3684,689
-3791,3696,739
-3806,3692,804
-3807,3650,822
-3836,3666,882
-3819,3666,896
-3833,3652,942
-3838,3660,956
-3830,3664,993
-3840,3664,986
-3822,3642,998
-3842,3664,997
-3857,3646,998
-3856,3639,1017
-3850,3616,1036
-3854,3619,1033
-3856,3620,1055
-3876,3611,1038
-3870,3604,1062
-3868,3611,1062
-3868,3605,1054
-3871,3580,1077
-3859,3585,1064
-3877,3585,1090
-3873,3585,1090
-3873,3579,1078
-3865,3563,1099
-3864,3586,1093
-3885,3597,1082
-3868,3587,1079
-3853,3595,1083
-3849,3599,1068
-3830,3628,1058
-3832,3622,1035
-3831,3628,1002
-3829,3642,927
-3798,3637,893
-3804,3649,801
-3802,3670,764
-3766,3681,701
-3757,3676,658
-3744,3697,582
-3744,3703,533
-3725,3693,471
-3714,3703,422
-3704,3686,345
-3679,3706,305
-3662,3716,231
-3665,3725,189
-3656,3727,125
-3623,3731,64
-3617,3717,-7
-3594,3733,-70
-3570,3720,-137
-3551,3732,-189
-3518,3746,-259
-3515,3772,-310
-3483,3765,-363
-3457,3785,-416
-3435,3784,-471
-3397,3784,-471
-3397,3755,-524
-3389,3778,-589
-3355,3761,-649
-3338,3751,-732
-3298,3762,-789
-3279,3747,-853
-3249,3737,-914
-3232,3745,-1008
-3200,3721,-1065
-3186,3688,-1156
-3144,3668,-1220
-3131,3645,-1312
-3104,3598,-1392
-3096,3535,-1487
-3076,3495,-1565
-3041,3410,-1656
-2998,3383,-1723
-2983,3347,-1814
-2972,3329,-1865
-2940,3279,-1918
-2913,3280,-1972
-2884,3275,-1997
-2846,3250,-2035
-2815,3278,-2079
-2782,3251,-2143
-2762,3237,-2176
-2716,3197,-2242
-2683,3198,-2279
-2665,3183,-2325
-2631,3133,-2380
-2583,3128,-2427
-2528,3097,-2479
-2485,3091,-2528
-2432,3080,-2575
-2382,3076,-2653
-2341,3076,-2653
-2341,3049,-2710
-2268,2997,-2765
-2229,2965,-2819
-2177,2922,-2883
